generation,best_fitness,avg_fitness,avg_catches,avg_escaped,avg_completion_time,perfect_clears,avg_catch_speed
0,1118.5929021768397,320.5115804527234,10.4375,39.5625,282.8125,0,6.1381705107165745
1,2548.929546044173,786.4722365891138,15.020833333333334,34.979166666666664,279.6875,0,7.778558902311276
2,2287.1933630032995,1067.7029920690754,17.458333333333332,32.541666666666664,284.1458333333333,0,8.275810541536442
3,2667.9111186389955,1236.2312366411381,18.75,31.25,276.5833333333333,0,9.172742794395436
4,2543.7782909021716,1782.5826364057095,23.041666666666668,26.958333333333332,271.75,0,11.381140589183751
5,2616.3103121711674,1997.1545162139275,24.708333333333332,25.291666666666668,272.1458333333333,0,12.370430961725555
6,2800.2263953524503,1939.166913590224,24.25,25.75,273.8541666666667,0,11.991282584669856
7,3318.5684289142896,2154.4977412540434,25.916666666666668,24.083333333333332,267.7083333333333,0,13.312787094809389
8,3066.8474832511765,2418.358255372889,28.020833333333332,21.979166666666668,262.8333333333333,0,14.080759019324425
9,3180.17694011447,2586.149863654898,29.354166666666668,20.645833333333332,260.8125,0,14.936828390729525
10,3507.015779376333,2553.4892260522997,29.041666666666668,20.958333333333332,256.25,0,15.53738982497854
11,3551.0827028501362,2729.005194007547,30.4375,19.5625,248.60416666666666,0,15.838398589305584
12,3605.9777068035773,2837.109172691629,31.3125,18.6875,260.0833333333333,0,15.730828575116952
13,3745.85579106477,2775.7150325331077,30.8125,19.1875,255.45833333333334,0,16.034103094545937
14,3466.449294341635,2780.887058987733,30.854166666666668,19.145833333333332,258.8541666666667,0,16.445997477526106
15,3499.381399503867,2773.991238555629,30.833333333333332,19.166666666666668,260.5208333333333,0,16.293597904390584
16,3620.8571693198314,2781.9815975569422,30.895833333333332,19.104166666666668,262.5208333333333,0,16.940775604859066
17,3807.923888040523,3161.2523126570145,33.854166666666664,16.145833333333332,254.04166666666666,0,17.527665812527815
18,3567.46188285721,2737.820938703356,30.5,19.5,260.1666666666667,0,16.412662997277135
19,3699.4093079922027,2924.3771335338224,31.979166666666668,18.020833333333332,258.0625,0,16.752459889871506
20,3492.884607846746,2928.571521062277,32.020833333333336,17.979166666666668,252.41666666666666,0,16.379060396695586
21,3688.2169148243356,2897.068563205925,31.75,18.25,263.0208333333333,0,16.829077363605297
22,3755.655408467743,2835.440015252692,31.270833333333332,18.729166666666668,259.3333333333333,0,16.525028486908894
23,3690.583740308191,3084.119625179183,33.208333333333336,16.791666666666668,261.5,0,17.447178371436266
24,3806.8735725620886,3053.0705929868677,32.979166666666664,17.020833333333332,261.625,0,17.648946252288134
25,3814.3625377685557,3143.704740797212,33.729166666666664,16.270833333333332,250.22916666666666,0,17.50031443233105
26,3994.420202119508,3110.1723487040094,33.458333333333336,16.541666666666668,253.91666666666666,0,17.53457908333711
27,3946.8177176505815,3200.745040687911,34.166666666666664,15.833333333333334,254.25,0,17.859383576701443
28,4195.693734526904,3216.38648651378,34.270833333333336,15.729166666666666,253.125,0,17.870135937715048
29,3993.707200846412,3189.73587646249,34.0625,15.9375,256.0416666666667,0,18.331398839522766
30,3747.1723457696003,2993.1070615981357,32.479166666666664,17.520833333333332,255.77083333333334,0,18.536898321632044
31,3773.4894542053216,3241.0999056859055,34.416666666666664,15.583333333333334,247.77083333333334,0,19.163977205389042
32,3816.319841556454,3028.934043587891,32.75,17.25,243.60416666666666,0,18.119434228764405
33,3991.4256474923923,3117.1918112860535,33.4375,16.5625,247.02083333333334,0,18.801500367995033
34,4204.375182306143,3142.048516449829,33.666666666666664,16.333333333333332,243.14583333333334,0,18.59249576185225
35,4001.2320673901067,3108.8621851178596,33.416666666666664,16.583333333333332,253.625,0,17.745548743850744
36,4065.526121702067,3272.533923063642,34.729166666666664,15.270833333333334,251.4375,0,18.492241364027517
37,3876.293722858818,3291.7840015693096,34.833333333333336,15.166666666666666,243.64583333333334,0,18.99277333164597
38,3871.3444257880888,3318.015061483133,35.041666666666664,14.958333333333334,248.10416666666666,0,19.242370187834414
39,3813.067334523249,3028.6882488313236,32.770833333333336,17.229166666666668,250.0,0,18.215593620778076
